0.00,1.05,0.00,0.00,0.00
0.00,1.05,0.00,0.00,0.00
0.00,1.05,0.00,0.00,0.00
0.00,1.05,0.00,0.00,0.00
0.01,1.05,0.67,0.00,0.31
11.48,1.81,0.90,1.53,9.20
24.49,8.97,10.13,7.62,18.45
28.16,12.80,14.33,9.90,22.09
28.33,13.44,12.75,9.38,22.89
28.27,13.38,12.05,9.35,23.05
28.28,13.41,11.56,9.77,23.00
27.39,13.59,11.58,10.52,22.30
26.16,13.22,14.49,12.24,21.72
25.57,10.82,17.26,21.21,24.59
54.95,13.20,32.38,30.30,54.83
66.34,21.87,39.83,35.88,66.33
68.92,26.55,39.92,33.93,68.85
69.04,29.36,36.67,31.20,69.06
68.11,28.18,36.05,32.45,67.93
66.85,22.24,37.22,32.87,66.88
67.11,20.48,35.29,32.21,67.11
67.20,21.93,36.70,33.30,67.25
67.47,23.67,35.18,28.15,67.34
66.41,27.04,36.57,30.91,66.41
65.86,31.74,32.84,27.14,65.87
64.41,38.10,33.30,26.30,64.26
65.72,48.42,35.58,30.18,64.88
70.18,57.10,39.00,34.28,68.44
68.22,55.33,35.59,31.20,66.74
70.12,53.12,37.42,31.35,68.90
69.76,48.32,39.37,30.18,69.19
70.98,44.74,40.60,29.45,70.33
71.89,43.29,40.98,35.56,71.60
71.94,43.48,39.98,31.60,71.60
72.50,45.43,42.31,35.32,72.10
71.75,46.37,45.52,42.05,71.36
72.28,47.40,44.83,42.63,71.69
71.27,48.25,45.64,38.30,70.82
70.92,51.46,45.91,40.29,69.92
70.98,55.30,43.53,38.43,69.70
70.41,59.21,43.03,42.23,68.64
71.35,61.05,40.50,43.10,68.40
72.18,63.42,39.16,45.17,69.83
73.86,65.46,39.21,56.40,69.59
74.48,66.16,39.65,69.37,70.35
74.34,65.24,42.25,71.20,69.68
78.06,71.57,47.40,75.95,69.16
78.01,73.04,49.20,77.01,67.88
77.85,72.03,48.83,75.92,69.61
77.28,71.36,51.04,76.77,68.25
76.53,70.46,50.98,74.47,68.10
77.33,70.80,50.33,75.25,68.31
75.18,69.68,48.77,72.24,67.08
75.33,68.49,48.96,72.71,67.34
74.56,68.39,48.23,72.02,67.66
74.97,68.78,47.87,70.92,68.02
73.73,67.53,46.95,71.50,65.37
74.17,67.27,47.63,72.69,65.02
73.71,67.25,46.22,73.34,65.24
73.51,68.46,46.61,71.62,64.93
75.10,68.89,46.10,73.70,65.89
74.19,67.29,46.90,71.51,65.29
74.34,68.45,45.50,72.91,65.79
74.27,68.30,45.84,72.33,66.86
73.46,66.65,46.27,71.27,65.60
72.79,65.66,45.82,70.56,66.39
73.04,65.09,45.09,69.85,66.93
73.31,63.42,45.42,70.86,68.70
72.94,61.36,44.88,69.68,68.96
72.76,59.33,44.76,71.03,70.15
72.75,57.23,43.92,68.80,70.11
72.74,59.18,44.38,70.58,69.50
73.30,57.45,42.88,69.40,70.38
71.54,53.18,42.94,70.49,68.91
72.02,53.62,42.63,69.23,69.89
71.60,54.50,42.61,67.23,70.36
72.49,55.66,42.88,68.77,71.21
72.59,59.30,42.71,66.36,71.76
72.30,58.42,41.45,67.89,69.99
71.38,57.28,41.49,65.47,69.35
70.61,55.49,40.51,66.47,69.14
71.12,56.05,41.31,64.81,69.29
70.93,54.94,40.53,65.71,69.24
70.98,53.43,39.58,65.78,70.02
70.74,54.79,39.64,64.53,69.23
71.02,54.09,39.70,65.82,69.99
72.36,53.95,39.93,64.67,70.97
71.45,54.02,39.73,66.52,71.50
72.24,54.65,39.24,65.42,70.99
72.11,53.99,39.05,66.53,70.51
71.52,53.36,38.42,63.32,70.61
71.12,55.73,38.00,64.09,70.28
73.39,58.22,37.83,65.65,71.92
73.42,56.34,38.10,63.05,71.79
72.82,56.18,37.34,64.78,71.32
71.82,56.99,37.01,63.10,70.44
72.51,56.77,37.28,62.93,70.94
71.94,63.83,36.28,64.21,69.71
74.28,69.51,38.78,64.22,69.49
74.77,72.98,39.51,63.75,68.89
75.77,74.39,36.35,62.22,69.67
76.31,74.94,35.70,63.86,70.56
74.81,73.29,33.91,63.38,69.05
74.40,71.39,32.93,64.66,70.53
73.25,68.39,34.83,63.12,70.59
74.60,68.91,35.52,64.24,70.99
73.10,68.93,35.92,64.10,69.34
72.02,67.55,36.64,65.22,68.64
72.79,68.61,38.70,64.12,67.95
72.72,68.97,39.23,62.80,67.42
72.97,68.50,38.57,64.98,67.21
71.68,69.66,40.79,63.37,66.59
74.74,71.00,42.82,64.76,68.49
72.87,71.03,42.99,63.56,66.87
73.49,70.40,42.81,65.55,67.03
73.46,69.76,42.06,64.40,67.27
72.17,68.83,39.54,65.24,66.18
72.91,66.96,37.56,64.66,67.37
73.39,65.85,36.83,64.08,69.80
72.61,63.26,35.78,65.69,70.58
74.22,63.98,36.26,64.52,71.69
74.40,65.18,35.50,63.52,71.95
